"","Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"1586","645L",26,1498.914,50,64,0.43859649122807,42,-0.244691887520413,0.0353058561670121,0.221482516252552,0.0964331570536376
"1587","645L",27,1548.8778,48,66,0.421052631578947,42,-0.315638149718371,0.0356561506859933,0.242576089228985,0.156476443520997
"1588","645L",28,1598.8416,48,68,0.413793103448276,42,-0.345269947324742,0.0352170968470163,0.263669662205418,0.221978210576298
"1589","645L",29,1648.8054,48,65,0.424778761061947,42,-0.300486344697769,0.03588573227355,0.284763235181852,0.292938458219541
"1590","645L",30,1698.7692,51,63,0.447368421052632,42,-0.209458098228956,0.0351655072242183,0.305856808158285,0.369357186450725
"1591","651L",1,249.819,22,34,0.392857142857143,24,-0.42744401482694,0.0734299516908213,-0.305856808158285,0.369357186450725
"1592","651L",2,299.7828,21,35,0.375,24,-0.501479761347753,0.0746806419914838,-0.284763235181852,0.292938458219541
"1593","651L",3,349.7466,21,33,0.388888888888889,24,-0.443492503697404,0.0763623741756335,-0.263669662205418,0.221978210576298
"1594","651L",4,399.7104,21,30,0.411764705882353,24,-0.349673748479749,0.0792985131528784,-0.242576089228985,0.156476443520997
"1595","651L",5,449.6742,19,33,0.365384615384615,24,-0.54113097326132,0.081132797550708,-0.221482516252551,0.0964331570536376
"1596","651L",6,499.638,20,35,0.363636363636364,24,-0.549107810337008,0.0769495018893851,-0.200388943276118,0.0418483511742202
"1597","651L",7,549.6018,22,34,0.392857142857143,24,-0.42744401482694,0.0734299516908213,-0.179295370299685,-0.00727797411725557
"1598","651L",8,599.5656,21,34,0.381818181818182,24,-0.472906388903697,0.0754971351533536,-0.158201797323251,-0.0509458188207896
"1599","651L",9,649.5294,26,32,0.448275862068966,24,-0.204095356343515,0.0685050798258345,-0.137108224346818,-0.0891551829363819
"1600","651L",10,699.4932,30,32,0.483870967741935,24,-0.0635134057223259,0.0635561160151324,-0.116014651370384,-0.121906066464032
"1601","651L",11,749.457,27,37,0.421875,24,-0.31015492830384,0.063030303030303,-0.0949210783939507,-0.149198469403741
"1602","651L",12,799.4208,27,38,0.415384615384615,24,-0.336472236621213,0.0623376623376623,-0.0738275054175172,-0.171032391755508
"1603","651L",13,849.3846,27,42,0.391304347826087,24,-0.435318071257845,0.0598930481283422,-0.0527339324410837,-0.187407833519333
"1604","651L",14,899.3484,21,42,0.333333333333333,24,-0.681451140796754,0.0700410396716826,-0.0316403594646502,-0.198324794695217
"1605","651L",15,949.3122,23,40,0.365079365079365,24,-0.54430155296238,0.0672445495140531,-0.0105467864882168,-0.203783275283159
"1606","651L",16,999.276,23,39,0.370967741935484,24,-0.519300250756963,0.0678696471855642,0.0105467864882167,-0.203783275283159
"1607","651L",17,1049.2398,24,41,0.369230769230769,24,-0.527020309685971,0.0649127120727809,0.0316403594646503,-0.198324794695217
"1608","651L",18,1099.2036,26,40,0.393939393939394,24,-0.424157241120317,0.0624272070812951,0.0527339324410837,-0.187407833519333
"1609","651L",19,1149.1674,27,39,0.409090909090909,24,-0.36211466723455,0.0616800920598389,0.0738275054175172,-0.171032391755508
"1610","651L",20,1199.1312,27,36,0.428571428571429,24,-0.28312625591592,0.063760896637609,0.0949210783939507,-0.149198469403741
"1611","651L",21,1249.095,29,32,0.475409836065574,24,-0.0968498259899177,0.0646675358539765,0.116014651370384,-0.121906066464032
"1612","651L",22,1299.0588,30,29,0.508474576271186,24,0.0333364202675917,0.0666851903306474,0.137108224346818,-0.0891551829363819
"1613","651L",23,1349.0226,29,30,0.491525423728814,24,-0.0333364202675918,0.0666851903306474,0.158201797323251,-0.0509458188207897
"1614","651L",24,1398.9864,30,30,0.5,24,0,0.0655737704918033,0.179295370299685,-0.00727797411725567
"1615","651L",25,1448.9502,30,26,0.535714285714286,24,0.140581950621189,0.0705227343025054,0.200388943276118,0.0418483511742201
"1616","651L",26,1498.914,33,24,0.578947368421053,24,0.312872321280339,0.070667072799269,0.221482516252552,0.0964331570536376
"1617","651L",27,1548.8778,35,21,0.625,24,0.501479761347753,0.0746806419914838,0.242576089228985,0.156476443520997
"1618","651L",28,1598.8416,34,22,0.607142857142857,24,0.42744401482694,0.0734299516908213,0.263669662205418,0.221978210576298
"1619","651L",29,1648.8054,33,24,0.578947368421053,24,0.312872321280339,0.070667072799269,0.284763235181852,0.292938458219541
"1620","651L",30,1698.7692,28,27,0.509090909090909,24,0.0357180826020792,0.071451355661882,0.305856808158285,0.369357186450725
"1621","653L",1,249.819,27,76,0.262135922330097,40,-1.02310473615996,0.049435531788473,-0.305856808158285,0.369357186450725
"1622","653L",2,299.7828,29,71,0.29,40,-0.885307186354188,0.0478843190707597,-0.284763235181852,0.292938458219541
"1623","653L",3,349.7466,25,75,0.25,40,-1.0854542040906,0.0524607193870926,-0.263669662205418,0.221978210576298
"1624","653L",4,399.7104,24,82,0.226415094339623,40,-1.21412517578995,0.0529375386518244,-0.242576089228985,0.156476443520997
"1625","653L",5,449.6742,24,83,0.224299065420561,40,-1.22617351430613,0.0527923744348039,-0.221482516252551,0.0964331570536376
"1626","653L",6,499.638,23,78,0.227722772277228,40,-1.20609820363825,0.0552920449925464,-0.200388943276118,0.0418483511742202
"1627","653L",7,549.6018,18,82,0.18,40,-1.49502756125636,0.0661752661752662,-0.179295370299685,-0.00727797411725557
"1628","653L",8,599.5656,21,81,0.205882352941176,40,-1.3325500851132,0.0587815665572835,-0.158201797323251,-0.0509458188207896
"1629","653L",9,649.5294,24,81,0.228571428571429,40,-1.20192990269614,0.053086265180919,-0.137108224346818,-0.0891551829363819
"1630","653L",10,699.4932,23,81,0.221153846153846,40,-1.2436025990967,0.0548231301396684,-0.116014651370384,-0.121906066464032
"1631","653L",11,749.457,24,84,0.222222222222222,40,-1.23807841681245,0.0526506460572395,-0.0949210783939507,-0.149198469403741
"1632","653L",12,799.4208,27,81,0.25,40,-1.08641701557429,0.0486335750139431,-0.0738275054175172,-0.171032391755508
"1633","653L",13,849.3846,29,76,0.276190476190476,40,-0.952900477486716,0.0469702005095824,-0.0527339324410837,-0.187407833519333
"1634","653L",14,899.3484,33,78,0.297297297297297,40,-0.851553185957342,0.0425895997718414,-0.0316403594646502,-0.198324794695217
"1635","653L",15,949.3122,40,70,0.363636363636364,40,-0.554310735705729,0.0388757551878119,-0.0105467864882168,-0.203783275283159
"1636","653L",16,999.276,45,64,0.412844036697248,40,-0.348952897844822,0.0374818979470142,0.0105467864882167,-0.203783275283159
"1637","653L",17,1049.2398,44,63,0.411214953271028,40,-0.355550716726451,0.0382199416084225,0.0316403594646503,-0.198324794695217
"1638","653L",18,1099.2036,46,63,0.422018348623853,40,-0.311587593305335,0.037253407840149,0.0527339324410837,-0.187407833519333
"1639","653L",19,1149.1674,47,62,0.431192660550459,40,-0.27443684570176,0.0370526315789474,0.0738275054175172,-0.171032391755508
"1640","653L",20,1199.1312,46,64,0.418181818181818,40,-0.327212911208416,0.0370092523130783,0.0949210783939507,-0.149198469403741
"1641","653L",21,1249.095,45,66,0.405405405405405,40,-0.379489621704904,0.0370156159629844,0.116014651370384,-0.121906066464032
"1642","653L",22,1299.0588,52,60,0.464285714285714,40,-0.141830195439218,0.0355765446674538,0.137108224346818,-0.0891551829363819
"1643","653L",23,1349.0226,54,57,0.486486486486487,40,-0.0535842461341064,0.0357399282010371,0.158201797323251,-0.0509458188207897
"1644","653L",24,1398.9864,53,58,0.477477477477477,40,-0.08934510033585,0.0357856058790638,0.179295370299685,-0.00727797411725567
"1645","653L",25,1448.9502,52,54,0.490566037735849,40,-0.0373875320716203,0.0373962429008301,0.200388943276118,0.0418483511742201
"1646","653L",26,1498.914,54,54,0.5,40,0,0.036697247706422,0.221482516252552,0.0964331570536376
"1647","653L",27,1548.8778,56,55,0.504504504504504,40,0.0178576174000065,0.0357171330622658,0.242576089228985,0.156476443520997
"1648","653L",28,1598.8416,53,55,0.490740740740741,40,-0.0367013668504279,0.0367096068030647,0.263669662205418,0.221978210576298
"1649","653L",29,1648.8054,51,56,0.476635514018692,40,-0.0926588304827048,0.0371165907724031,0.284763235181852,0.292938458219541
"1650","653L",30,1698.7692,54,52,0.509433962264151,40,0.0373875320716204,0.0373962429008301,0.305856808158285,0.369357186450725
"1651","666L",1,249.819,23,46,0.333333333333333,25,-0.682451891443197,0.0640585678334477,-0.305856808158285,0.369357186450725
"1652","666L",2,299.7828,19,45,0.296875,25,-0.847297860387204,0.0732600732600733,-0.284763235181852,0.292938458219541
"1653","666L",3,349.7466,16,49,0.246153846153846,25,-1.09861228866811,0.0808080808080808,-0.263669662205418,0.221978210576298
"1654","666L",4,399.7104,14,52,0.212121212121212,25,-1.28666452017105,0.0880131362889984,-0.242576089228985,0.156476443520997
"1655","666L",5,449.6742,15,57,0.208333333333333,25,-1.3109449238781,0.0819074333800841,-0.221482516252551,0.0964331570536376
"1656","666L",6,499.638,15,56,0.211267605633803,25,-1.29340061422719,0.0822152440765059,-0.200388943276118,0.0418483511742202
"1657","666L",7,549.6018,15,59,0.202702702702703,25,-1.34513628862638,0.0813228517213337,-0.179295370299685,-0.00727797411725557
"1658","666L",8,599.5656,18,50,0.264705882352941,25,-1.00420260419704,0.0738560342520739,-0.158201797323251,-0.0509458188207896
"1659","666L",9,649.5294,22,45,0.328358208955224,25,-0.70419701674653,0.0664224664224664,-0.137108224346818,-0.0891551829363819
"1660","666L",10,699.4932,24,45,0.347826086956522,25,-0.619039208406224,0.0627943485086342,-0.116014651370384,-0.121906066464032
"1661","666L",11,749.457,23,41,0.359375,25,-0.568693006086539,0.0666495770315304,-0.0949210783939507,-0.149198469403741
"1662","666L",12,799.4208,25,39,0.390625,25,-0.437622219742696,0.0645321419707123,-0.0738275054175172,-0.171032391755508
"1663","666L",13,849.3846,27,41,0.397058823529412,25,-0.411507422564127,0.060460021905805,-0.0527339324410837,-0.187407833519333
"1664","666L",14,899.3484,25,41,0.378787878787879,25,-0.487014975072272,0.0633120718166785,-0.0316403594646502,-0.198324794695217
"1665","666L",15,949.3122,24,41,0.369230769230769,25,-0.527020309685971,0.0649127120727809,-0.0105467864882168,-0.203783275283159
"1666","666L",16,999.276,24,42,0.363636363636364,25,-0.55083095837969,0.0643457382953181,0.0105467864882167,-0.203783275283159
"1667","666L",17,1049.2398,24,42,0.363636363636364,25,-0.55083095837969,0.0643457382953181,0.0316403594646503,-0.198324794695217
"1668","666L",18,1099.2036,23,40,0.365079365079365,25,-0.54430155296238,0.0672445495140531,0.0527339324410837,-0.187407833519333
"1669","666L",19,1149.1674,24,46,0.342857142857143,25,-0.640779195042629,0.0623217028746983,0.0738275054175172,-0.171032391755508
"1670","666L",20,1199.1312,24,46,0.342857142857143,25,-0.640779195042629,0.0623217028746983,0.0949210783939507,-0.149198469403741
"1671","666L",21,1249.095,21,44,0.323076923076923,25,-0.727436254038577,0.0689835380193363,0.116014651370384,-0.121906066464032
"1672","666L",22,1299.0588,19,38,0.333333333333333,25,-0.680243775724037,0.0772560772560772,0.137108224346818,-0.0891551829363819
