"Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"101L",11,749.457,29,57,0.337209302325581,44,-0.667394684457531,0.0512896094325719,-0.0949210783939507,-0.149198469403741
"101L",12,799.4208,32,56,0.363636363636364,44,-0.553000548816703,0.0484683458134786,-0.0738275054175172,-0.171032391755508
"101L",13,849.3846,38,53,0.417582417582418,44,-0.329023412608222,0.0446656147590727,-0.0527339324410837,-0.187407833519333
"101L",14,899.3484,39,60,0.393939393939394,44,-0.42634269312972,0.0418453813160372,-0.0316403594646502,-0.198324794695217
"101L",15,949.3122,42,59,0.415841584158416,44,-0.336472236621213,0.0403361344537815,-0.0105467864882168,-0.203783275283159
"101L",16,999.276,54,51,0.514285714285714,44,0.0566188939995079,0.0377660995813663,0.0105467864882167,-0.203783275283159
"101L",17,1049.2398,65,46,0.585585585585586,44,0.342597830047896,0.0367725519166051,0.0316403594646503,-0.198324794695217
"101L",18,1099.2036,70,37,0.654205607476635,44,0.631271776841858,0.0408510638297872,0.0527339324410837,-0.187407833519333
"101L",19,1149.1674,76,37,0.672566371681416,44,0.712949807856125,0.0397385620915033,0.0738275054175172,-0.171032391755508
"101L",20,1199.1312,79,37,0.681034482758621,44,0.751416088683921,0.0392452830188679,0.0949210783939507,-0.149198469403741
"101L",21,1249.095,80,34,0.701754385964912,44,0.847297860387204,0.041407867494824,0.116014651370384,-0.121906066464032
"101L",22,1299.0588,76,40,0.655172413793103,44,0.635988766719997,0.037763253449528,0.137108224346818,-0.0891551829363819
"101L",23,1349.0226,74,37,0.666666666666667,44,0.686458192409149,0.040089485458613,0.158201797323251,-0.0509458188207897
"101L",24,1398.9864,82,29,0.738738738738739,44,1.02840802999486,0.0460195172059579,0.179295370299685,-0.00727797411725567
"101L",25,1448.9502,82,30,0.732142857142857,44,0.995071609727269,0.0449080973671138,0.200388943276118,0.0418483511742201
"101L",26,1498.914,77,31,0.712962962962963,44,0.900290390527714,0.0446492575524834,0.221482516252552,0.0964331570536376
"101L",27,1548.8778,80,31,0.720720720720721,44,0.93826963859293,0.0441683919944789,0.242576089228985,0.156476443520997
"101L",28,1598.8416,75,34,0.688073394495413,44,0.783173332217665,0.0422305403589596,0.263669662205418,0.221978210576298
"101L",29,1648.8054,70,31,0.693069306930693,44,0.805625163986636,0.0459304289091523,0.284763235181852,0.292938458219541
"101L",30,1698.7692,68,28,0.708333333333333,44,0.876929657993575,0.049686259444231,0.305856808158285,0.369357186450725
"103L",1,249.819,25,84,0.229357798165138,40,-1.19807308219875,0.051050005801137,-0.305856808158285,0.369357186450725
"103L",2,299.7828,26,82,0.240740740740741,40,-1.13565356034846,0.0498570611778159,-0.284763235181852,0.292938458219541
"103L",3,349.7466,27,78,0.257142857142857,40,-1.04891262011584,0.0491024898668211,-0.263669662205418,0.221978210576298
"103L",4,399.7104,26,83,0.238532110091743,40,-1.14770189886463,0.0497118969607954,-0.242576089228985,0.156476443520997
"103L",5,449.6742,24,83,0.224299065420561,40,-1.22617351430613,0.0527923744348039,-0.221482516252551,0.0964331570536376
"103L",6,499.638,27,85,0.241071428571429,40,-1.13433037127019,0.0480595427963849,-0.200388943276118,0.0418483511742202
"103L",7,549.6018,28,83,0.252252252252252,40,-1.0749425445822,0.0470637672024372,-0.179295370299685,-0.00727797411725557
"103L",8,599.5656,30,77,0.280373831775701,40,-0.932551252745935,0.0456901110523533,-0.158201797323251,-0.0509458188207896
"103L",9,649.5294,33,73,0.311320754716981,40,-0.78573996738777,0.0434561884455275,-0.137108224346818,-0.0891551829363819
"103L",10,699.4932,33,72,0.314285714285714,40,-0.772041123029608,0.0436438497169326,-0.116014651370384,-0.121906066464032
"103L",11,749.457,35,75,0.318181818181818,40,-0.754599959773609,0.0414140471970898,-0.0949210783939507,-0.149198469403741
"103L",12,799.4208,37,72,0.339449541284404,40,-0.659245628884264,0.0404597701149425,-0.0738275054175172,-0.171032391755508
"103L",13,849.3846,41,66,0.383177570093458,40,-0.471508520425156,0.0391339795271311,-0.0527339324410837,-0.187407833519333
"103L",14,899.3484,43,69,0.383928571428571,40,-0.468565814476108,0.0373769949557595,-0.0316403594646502,-0.198324794695217
"103L",15,949.3122,48,65,0.424778761061947,40,-0.300486344697769,0.03588573227355,-0.0105467864882168,-0.203783275283159
"103L",16,999.276,50,61,0.45045045045045,40,-0.197063838531158,0.0360621427996458,0.0105467864882167,-0.203783275283159
"103L",17,1049.2398,57,58,0.495652173913044,40,-0.0172418064345061,0.0344853214418432,0.0316403594646503,-0.198324794695217
"103L",18,1099.2036,56,60,0.482758620689655,40,-0.0684027268844005,0.0342280406640825,0.0527339324410837,-0.187407833519333
"103L",19,1149.1674,53,58,0.477477477477477,40,-0.08934510033585,0.0357856058790638,0.0738275054175172,-0.171032391755508
"103L",20,1199.1312,59,53,0.526785714285714,40,0.106294658649623,0.0354983114741224,0.0949210783939507,-0.149198469403741
"103L",21,1249.095,64,45,0.587155963302752,40,0.348952897844822,0.0374818979470142,0.116014651370384,-0.121906066464032
"103L",22,1299.0588,71,42,0.628318584070796,40,0.520193373769591,0.0375154257507199,0.137108224346818,-0.0891551829363819
"103L",23,1349.0226,74,35,0.678899082568807,40,0.741266428904144,0.0415918328764533,0.158201797323251,-0.0509458188207897
